seconds,frame,proposed_by
47.32,1183,trajectory_scan
47.40,1185,pipeline:unknown
47.80,1195,trajectory_scan
49.24,1231,trajectory_scan
49.88,1247,pipeline:unknown trajectory_scan
50.52,1263,trajectory_scan
50.56,1264,pipeline:unknown
51.20,1280,pipeline:unknown trajectory_scan
51.76,1294,pipeline:unknown trajectory_scan
52.32,1308,pipeline:unknown trajectory_scan
52.84,1321,pipeline:unknown trajectory_scan
53.44,1336,trajectory_scan
53.48,1337,pipeline:unknown
54.92,1373,pipeline:unknown
55.64,1391,pipeline:contact trajectory_scan
56.00,1400,pipeline:bounce
56.32,1408,pipeline:contact
56.76,1419,pipeline:unknown
56.80,1420,trajectory_scan
58.00,1450,pipeline:unknown trajectory_scan
59.00,1475,pipeline:unknown trajectory_scan
85.68,2142,trajectory_scan
86.08,2152,pipeline:unknown
86.36,2159,pipeline:unknown
86.56,2164,trajectory_scan
87.40,2185,pipeline:bounce trajectory_scan
87.92,2198,pipeline:unknown trajectory_scan
88.72,2218,pipeline:bounce
89.32,2233,trajectory_scan
93.92,2348,pipeline:unknown
95.44,2386,pipeline:unknown
111.96,2799,trajectory_scan
112.56,2814,trajectory_scan
114.96,2874,pipeline:bounce
115.40,2885,pipeline:bounce
115.76,2894,pipeline:unknown
116.08,2902,trajectory_scan
120.08,3002,trajectory_scan
120.32,3008,pipeline:contact
120.52,3013,trajectory_scan
120.80,3020,pipeline:unknown
121.00,3025,trajectory_scan
121.44,3036,trajectory_scan
122.60,3065,trajectory_scan
123.24,3081,pipeline:unknown trajectory_scan
123.72,3093,pipeline:unknown
123.92,3098,trajectory_scan
124.08,3102,pipeline:unknown
124.52,3113,pipeline:unknown trajectory_scan
125.08,3127,pipeline:unknown trajectory_scan
125.60,3140,pipeline:unknown trajectory_scan
126.16,3154,pipeline:unknown trajectory_scan
126.48,3162,pipeline:contact
126.76,3169,trajectory_scan
126.80,3170,pipeline:unknown
128.24,3206,pipeline:unknown
128.96,3224,pipeline:bounce
129.00,3225,trajectory_scan
129.44,3236,pipeline:bounce
129.48,3237,trajectory_scan
130.00,3250,trajectory_scan
130.92,3273,trajectory_scan
130.96,3274,pipeline:bounce
131.16,3279,pipeline:contact
131.36,3284,pipeline:unknown trajectory_scan
132.04,3301,pipeline:bounce
132.08,3302,trajectory_scan
132.72,3318,pipeline:contact
133.36,3334,pipeline:bounce trajectory_scan
133.64,3341,pipeline:contact
133.72,3343,trajectory_scan
134.40,3360,pipeline:bounce
134.84,3371,pipeline:contact
135.68,3392,trajectory_scan
135.80,3395,pipeline:contact
135.92,3398,trajectory_scan
136.40,3410,pipeline:unknown
136.96,3424,pipeline:bounce
137.32,3433,pipeline:contact
137.96,3449,pipeline:bounce
138.40,3460,pipeline:contact
138.44,3461,trajectory_scan
138.96,3474,pipeline:unknown
139.44,3486,pipeline:unknown trajectory_scan
139.88,3497,pipeline:contact
140.00,3500,trajectory_scan
140.64,3516,pipeline:bounce
141.20,3530,pipeline:unknown
143.72,3593,pipeline:contact
154.52,3863,trajectory_scan
155.04,3876,trajectory_scan
155.76,3894,trajectory_scan
165.92,4148,pipeline:unknown
166.84,4171,pipeline:unknown
179.08,4477,trajectory_scan
179.16,4479,pipeline:contact
179.56,4489,pipeline:unknown
