seconds,strip,kind,tolerance_s,note
160.96,004024.jpg,bounce,0.25,
161.24,004031.jpg,none,0.25,
162.32,004058.jpg,none,0.25,
162.52,004063.jpg,contact,0.25,
162.88,004072.jpg,none,0.25,
163.2,004080.jpg,bounce,0.25,
163.72,004093.jpg,contact,0.25,
164.24,004106.jpg,none,0.25,
165.08,004127.jpg,bounce,0.25,
165.52,004138.jpg,contact,0.25,
165.92,004148.jpg,none,0.25,
166.24,004156.jpg,bounce,0.25,
167.4,004185.jpg,bounce,0.25,
167.6,004190.jpg,none,0.25,
167.68,004192.jpg,contact,0.25,
168.72,004218.jpg,none,0.25,
169.76,004244.jpg,none,0.25,
170.16,004254.jpg,none,0.25,
